Name,Notiz,Produzent,Herkunft,Einheit
Anissamen,bio,Gewürzprofi,Türkei,50g
Basilikum,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,16g
Bockshornklee (gemahlen),bio ,Gewürzprofi,Indien,30g
Bohnenkraut,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,18g
Bouillon Brodo vegetale senza lievito (vegan),,Terra Verde,Italien,220g
Café de Paris (Kräuterbutter),Gewürzmischung,Grünenfelder Herbs,Vaulion/VD,50g
"Chili ""Pimont d'eseplette"" AOC (Chili 4/10)",,Gewürzprofi,Frankreich/Pays basque,50g
"Chili ""Piri Piri"" gemahlen (Birds Eye, Chili 9/10)",,Gewürzprofi,Malawi,50g
Curry (Kerala),bio,Gewürzprofi,Indien,100g
Dill,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,20g
Estragon,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,16g
Fleur de sel,natürlich,Gewürzprofi,Frankreich/ Atlantikküste,90g
Herbes de Provence,Gewürzmischung,Grünenfelder Herbs,Vaulion/VD,20g
Kardamomkapseln grün,bio,Gewürzprofi,Guatemala,60g
Koriandergrün,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,18g
Koriandersamen,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,50g
Kreuzkümmel,,Gewürzprofi,Ägypten,100g
Kümmelsamen,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,60g
Kurkuma,bio,Gewürzprofi,Indien,100g
Lorbeer,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,15g
Majoran,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,20g
"Meersalz, fein",natürlich,Gewürzprofi,Frankreich/ Atlantikküste,800g
Muskatnüsse,,Gewürzprofi,Grenada,5 Stück
Nelken ganz,bio,Gewürzprofi,Madagaskar,30g
Origano,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,18g
Paprika edelsüss (original ungarisch),bio,Gewürzprofi,Ungarn,100g
Peterli,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,16g
"Pfeffer, grün",bio,Gewürzprofi,Indien,50g
"Pfeffer, rosa",bio,Gewürzprofi,Brasilien,50g
"Pfeffer, schwarz",bio,Gewürzprofi,Indien,100g
"Pfeffer, weiss",bio,Gewürzprofi,Indien,100g
Piment (All Spice),,Gewürzprofi,Jamaika,50g
Pimenton de la Vera (milder Rauchpaprika),bio,Gewürzprofi,Spanien/Extremadura,100g
Pizza-Kräuter,Gewürzmischung,Grünenfelder Herbs,Vaulion/VD,20g
Quarkmischung,Gewürzmischung,Grünenfelder Herbs,Vaulion/VD,20g
Rauchsalz (Buchenholz),,Gewürzprofi,Dänemark,110g
Safranfäden,,Gewürzprofi,Iran,1g
Salatkräuter,Gewürzmischung,Grünenfelder Herbs,Vaulion/VD,20g
Salbei,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,30g
Schabzigerklee (gemahlen),,Gewürzprofi,Deutschland,30g
Scharfer Senf,CH KN,Biofarm,Schweiz,100g
Schnittlauch,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,18g
Schwarzkümmel,,Gewürzprofi,Ägypten,80g
Senf fein,CH KN,Biofarm,Schweiz,200g
Senf grob,CH KN,Biofarm,Schweiz,200g
Thymian,Küchenkräuter,Grünenfelder Herbs,Vaulion/VD,20g
Wachholderbeeren,bio,Gewürzprofi,Mazedonien,70g
Yuzu-Pulver,,Gewürzprofi,Japan,20g
"Zimt, Ceylon (gemahlen)",,Gewürzprofi,Sri Lanka,50g
